participant_id,secs,id,length,correct,feedback,duration
1CZ1CL1P,1648134409,0,7,0,0,17.0509
1CZ1CL1P,1648134452,1,7,0,1,12.4892
1CZ1CL1P,1648134490,2,5,0,0,6.6176
1CZ1CL1P,1648134519,3,5,0,2,5.2145
1CZ1CL1P,1648134550,4,3,1,0,6.258
1CZ1CL1P,1648134574,5,3,0,2,5.746
1CZ1CL1P,1648134606,6,3,1,0,6.3843
1CZ1CL1P,1648134638,7,5,1,0,8.5598
1CZ1CL1P,1648134668,8,5,0,1,6.7205
1CZ1CL1P,1648134719,9,7,0,0,14.5945
5J7PWO3G,1647942816,0,7,0,0,7.0417
5J7PWO3G,1647942862,1,7,1,1,16.8723
5J7PWO3G,1647942898,2,3,1,0,13.456
5J7PWO3G,1647942926,3,3,1,1,9.0161
5J7PWO3G,1647942969,4,5,1,0,9.486
5J7PWO3G,1647943003,5,5,1,0,11.1174
5J7PWO3G,1647943038,6,5,1,2,11.4978
5J7PWO3G,1647943085,7,7,1,0,13.6229
5J7PWO3G,1647943138,8,7,1,2,21.4577
5J7PWO3G,1647943172,9,3,1,0,10.7146
SYBO5F61,1648035388,0,7,1,0,16.9305
SYBO5F61,1648035443,1,7,0,1,26.338
SYBO5F61,1648035480,2,3,1,0,10.2538
SYBO5F61,1648035505,3,3,1,2,6.9073
SYBO5F61,1648035558,4,7,0,0,18.8428
SYBO5F61,1648035584,5,3,1,0,7.4383
SYBO5F61,1648035608,6,3,1,1,5.7697
SYBO5F61,1648035650,7,5,1,0,11.9429
SYBO5F61,1648035690,8,5,1,2,16.9093
SYBO5F61,1648035725,9,5,0,0,6.2732
6RGY40ES,1648030947,0,3,1,0,15.4387
6RGY40ES,1648030973,1,3,1,1,7.9521
6RGY40ES,1648031018,2,5,1,0,15.4267
6RGY40ES,1648031060,3,5,1,1,18.5315
6RGY40ES,1648031094,4,3,1,0,9.68
6RGY40ES,1648031119,5,3,1,2,7.0097
6RGY40ES,1648031174,6,7,1,0,21.2679
6RGY40ES,1648031229,7,7,1,0,26.6545
6RGY40ES,1648031270,8,7,0,2,11.9416
6RGY40ES,1648031310,9,5,1,0,9.9397
PTEM0K27,1647961063,0,5,1,0,52.6694
PTEM0K27,1647961118,1,5,1,2,31.1721
PTEM0K27,1647961169,2,5,1,0,22.1442
PTEM0K27,1647961219,3,5,1,2,26.3536
PTEM0K27,1647961304,4,7,1,0,50.497
PTEM0K27,1647961353,5,7,1,1,19.4174
PTEM0K27,1647961405,6,7,0,0,17.4685
PTEM0K27,1647961432,7,3,1,0,7.7912
PTEM0K27,1647961460,8,3,1,1,9.8635
PTEM0K27,1647961491,9,3,1,0,7.3321
Q4ABT87L,1647964905,0,5,1,0,14.2651
Q4ABT87L,1647964938,1,5,1,1,9.0587
Q4ABT87L,1647964968,2,3,1,0,5.8637
Q4ABT87L,1647964999,3,3,1,2,9.2031
Q4ABT87L,1647965031,4,3,1,0,7.2026
Q4ABT87L,1647965066,5,5,1,0,10.2071
Q4ABT87L,1647965100,6,5,1,2,9.4884
Q4ABT87L,1647965151,7,7,1,0,15.651
