cluster,participant_id,secs,length,current_score,previous_score,current_result,robot_feedback,action,engagement,duration,id
0,1CZ1CL1P,1648134409,7,-3,0,-1,0,2,    1.0000,   17.0509,0
0,1CZ1CL1P,1648134452,7,-3,-3,-1,0,3,    0.3114,   12.4892,1
0,1CZ1CL1P,1648134490,5,-2,-3,-1,1,1,    0.6612,    6.6176,2
0,1CZ1CL1P,1648134519,5,-2,-2,-1,0,4,    0.6728,    5.2145,3
0,1CZ1CL1P,1648134550,3,1,-2,1,2,0,    0.6064,    6.2580,4
0,1CZ1CL1P,1648134574,3,-1,1,-1,0,4,    0.7918,    5.7460,5
0,1CZ1CL1P,1648134606,3,1,-1,1,2,1,    0.7435,    6.3843,6
0,1CZ1CL1P,1648134638,5,2,1,1,0,1,    0.2858,    8.5598,7
0,1CZ1CL1P,1648134668,5,-2,2,-1,0,3,   -0.0401,    6.7205,8
0,1CZ1CL1P,1648134719,7,-3,-2,-1,1,-1,    0.2147,   14.5945,9
1,5J7PWO3G,1647942816,7,-3,0,-1,0,2,   -1.0000,    7.0417,0
1,5J7PWO3G,1647942862,7,3,-3,1,0,3,   -1.0000,   16.8723,1
1,5J7PWO3G,1647942898,3,1,3,1,1,0,   -1.0000,   13.4560,2
1,5J7PWO3G,1647942926,3,1,1,1,0,3,   -1.0000,    9.0161,3
1,5J7PWO3G,1647942969,5,2,1,1,1,1,   -0.6532,    9.4860,4
1,5J7PWO3G,1647943003,5,2,2,1,0,1,   -0.1186,   11.1174,5
1,5J7PWO3G,1647943038,5,2,2,1,0,4,   -0.1105,   11.4978,6
1,5J7PWO3G,1647943085,7,3,2,1,2,2,    0.3118,   13.6229,7
1,5J7PWO3G,1647943138,7,3,3,1,0,4,   -0.1680,   21.4577,8
1,5J7PWO3G,1647943172,3,1,3,1,2,-1,   -0.3169,   10.7146,9
1,SYBO5F61,1648035388,7,3,0,1,0,2,   -0.9817,   16.9305,0
1,SYBO5F61,1648035443,7,-3,3,-1,0,3,   -0.9667,   26.3380,1
1,SYBO5F61,1648035480,3,1,-3,1,1,0,   -0.7953,   10.2538,2
1,SYBO5F61,1648035505,3,1,1,1,0,4,   -0.9750,    6.9073,3
1,SYBO5F61,1648035558,7,-3,1,-1,2,0,   -0.7509,   18.8428,4
1,SYBO5F61,1648035584,3,1,-3,1,0,0,   -0.9403,    7.4383,5
1,SYBO5F61,1648035608,3,1,1,1,0,3,   -0.7871,    5.7697,6
1,SYBO5F61,1648035650,5,2,1,1,1,1,   -0.8604,   11.9429,7
1,SYBO5F61,1648035690,5,2,2,1,0,4,   -0.9053,   16.9093,8
1,SYBO5F61,1648035725,5,-2,2,-1,2,-1,   -0.7344,    6.2732,9
1,6RGY40ES,1648030947,3,1,0,1,0,0,   -0.6271,   15.4387,0
1,6RGY40ES,1648030973,3,1,1,1,0,3,   -1.0000,    7.9521,1
1,6RGY40ES,1648031018,5,2,1,1,1,1,   -0.9785,   15.4267,2
1,6RGY40ES,1648031060,5,2,2,1,0,3,   -0.9800,   18.5315,3
1,6RGY40ES,1648031094,3,1,2,1,1,0,   -1.0000,    9.6800,4
1,6RGY40ES,1648031119,3,1,1,1,0,4,   -0.9934,    7.0097,5
1,6RGY40ES,1648031174,7,3,1,1,2,2,   -0.9429,   21.2679,6
1,6RGY40ES,1648031229,7,3,3,1,0,2,   -1.0000,   26.6545,7
1,6RGY40ES,1648031270,7,-3,3,-1,0,4,   -0.9109,   11.9416,8
1,6RGY40ES,1648031310,5,2,-3,1,2,-1,   -0.9791,    9.9397,9
0,PTEM0K27,1647961063,5,2,0,1,0,1,    1.0000,   52.6694,0
0,PTEM0K27,1647961118,5,2,2,1,0,4,    0.6667,   31.1721,1
0,PTEM0K27,1647961169,5,2,2,1,2,1,    0.3605,   22.1442,2
0,PTEM0K27,1647961219,5,2,2,1,0,4,    0.6400,   26.3536,3
0,PTEM0K27,1647961304,7,3,2,1,2,2,    0.6648,   50.4970,4
0,PTEM0K27,1647961353,7,3,3,1,0,3,    0.7634,   19.4174,5
0,PTEM0K27,1647961405,7,-3,3,-1,1,0,    0.1001,   17.4685,6
0,PTEM0K27,1647961432,3,1,-3,1,0,0,   -0.8537,    7.7912,7
0,PTEM0K27,1647961460,3,1,1,1,0,3,    0.3167,    9.8635,8
0,PTEM0K27,1647961491,3,1,1,1,1,-1,    0.1600,    7.3321,9
0,Q4ABT87L,1647964905,5,2,0,1,0,1,    1.0000,   14.2651,0
0,Q4ABT87L,1647964938,5,2,2,1,0,3,    0.7400,    9.0587,1
0,Q4ABT87L,1647964968,3,1,2,1,1,0,    0.5164,    5.8637,2
0,Q4ABT87L,1647964999,3,1,1,1,0,4,    0.8772,    9.2031,3
0,Q4ABT87L,1647965031,3,1,1,1,2,1,    0.5965,    7.2026,4
